,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-363-3p,38.98444642,-2.516997457,0.40832846,-6.164148978,7.09E-10,2.88E-07
hsa-miR-20b-5p,18.38387457,-1.492663916,0.452977277,-3.295229122,0.000983415,0.066708292
hsa-miR-106a-5p,121.149057,-1.349093461,0.40293124,-3.348197724,0.00081339,0.066708292
hsa-miR-17-5p,1400.694413,-1.313010738,0.406851469,-3.227248365,0.001249869,0.072670967
hsa-miR-20a-5p,4870.569812,-1.253193112,0.405348968,-3.091640069,0.00199054,0.090016663
hsa-miR-125b-2-3p,41.9376397,-1.225456475,0.388646761,-3.15313698,0.00161526,0.082176349
hsa-miR-203a-3p,1334.856868,-1.208548405,0.364449248,-3.316095213,0.000912847,0.066708292
hsa-miR-210-3p,497.8570215,1.2482503,0.34402763,3.628343168,0.000285246,0.05804755
hsa-miR-574-5p,73.20120494,1.361698467,0.392023821,3.473509499,0.000513699,0.066708292
